horizon,method,n_forecasts,RMSFE,MAFE,mean_error,median_absolute_error,sd_forecast_error,average_selected,ar_rmsfe,ridge_rmsfe,lasso_rmsfe,relative_RMSFE_vs_AR,relative_RMSFE_vs_ridge,relative_RMSFE_vs_lasso
1,AR,55,0.5803391043274458,0.40129914588834753,-0.1260026194234278,0.31160782547354815,0.5717164681101556,0,0.5803391043274458,0.6119497518737725,0.5783504896767321,1,0.9483443739464951,1.003438424772192
1,LASSO,55,0.5783504896767321,0.39349023637776676,-0.1087949488211349,0.2717475851404346,0.5732608504104317,1,0.5803391043274458,0.6119497518737725,0.5783504896767321,0.9965733574803333,0.9450947367914433,1
1,Elastic net,55,0.5900121542386161,0.39903663752497454,-0.11704185313140351,0.2862012191623523,0.5836166783604673,1.2363636363636363,0.5803391043274458,0.6119497518737725,0.5783504896767321,1.0166679271464574,0.964151308881188,1.0201636633322508
1,Threshold ridge,55,0.5812541775631007,0.3669941904456504,-0.14665683352138834,0.2145546974538537,0.567632356345229,16.236363636363638,0.5803391043274458,0.6119497518737725,0.5783504896767321,1.0015767905847313,0.9498397144264168,1.0050206370327301
1,Post-threshold ridge,55,0.8606553220092655,0.5449575691628393,-0.006172781661079691,0.34111149711124844,0.8685654563258747,16.236363636363638,0.5803391043274458,0.6119497518737725,0.5783504896767321,1.4830214190144533,1.4064150191645044,1.4881206765992836
1,Ridge,55,0.6119497518737725,0.41862620332006334,-0.034481463701558183,0.296406890744194,0.6166087662212074,NA,0.5803391043274458,0.6119497518737725,0.5783504896767321,1.054469270312157,1,1.0580949835727134
1,OCMT,55,0.7518373107375372,0.44470159815985033,-0.15723941475756847,0.23394618197334205,0.741987208566321,2.7454545454545456,0.5803391043274458,0.6119497518737725,0.5783504896767321,1.295513786907123,1.2285932111834885,1.2999683136047404
1,BMT,55,0.8297736214267725,0.47061691191883853,-0.12254641465626621,0.30154043259811086,0.828238482708072,1.1818181818181819,0.5803391043274458,0.6119497518737725,0.5783504896767321,1.429808219434732,1.3559505807233838,1.4347245074359198
2,AR,55,0.6155657408694664,0.41239424430615423,-0.11814214374211157,0.32278227437832224,0.6096902497751933,0,0.6155657408694664,0.6188868118591451,0.6155657408694664,1,0.9946337990630271,1
2,LASSO,55,0.6155657408694664,0.41239424430615423,-0.11814214374211164,0.32278227437832224,0.6096902497751933,0.4727272727272727,0.6155657408694664,0.6188868118591451,0.6155657408694664,1,0.9946337990630271,1
2,Elastic net,55,0.6155657408694664,0.41239424430615423,-0.11814214374211164,0.32278227437832224,0.6096902497751933,0.2909090909090909,0.6155657408694664,0.6188868118591451,0.6155657408694664,1,0.9946337990630271,1
2,Threshold ridge,55,0.6154048473921506,0.4117696705073245,-0.11864638493461933,0.3203397128071679,0.6094250308535152,15.181818181818182,0.6155657408694664,0.6188868118591451,0.6155657408694664,0.9997386250295728,0.9943738266832112,0.9997386250295728
2,Post-threshold ridge,55,0.76236264989379,0.5031492741793773,-0.0821729477652639,0.3588956457015404,0.7649067107664016,15.181818181818182,0.6155657408694664,0.6188868118591451,0.6155657408694664,1.238474787139677,1.231828882576511,1.238474787139677
2,Ridge,55,0.6188868118591451,0.41757066666641507,-0.11133056075390199,0.32341623115466667,0.6144020213521515,NA,0.6155657408694664,0.6188868118591451,0.6155657408694664,1.0053951524088847,1,1.0053951524088847
2,OCMT,55,0.6179907772659067,0.41610830895379947,-0.11512009915744696,0.32278227437832224,0.612769940448976,0.05454545454545454,0.6155657408694664,0.6188868118591451,0.6155657408694664,1.0039395246282143,0.9985521834104903,1.0039395246282143
2,BMT,55,0.6179907772659067,0.41610830895379947,-0.11512009915744696,0.32278227437832224,0.612769940448976,0.05454545454545454,0.6155657408694664,0.6188868118591451,0.6155657408694664,1.0039395246282143,0.9985521834104903,1.0039395246282143
4,AR,55,0.6524017921283343,0.43943437913982,-0.14345635666020226,0.3036873367316266,0.642299982785135,0,0.6524017921283343,0.6526836917500969,0.6524017921283343,1,0.9995680915191757,1
4,LASSO,55,0.6524017921283343,0.43943437913982,-0.14345635666020234,0.30368733673162673,0.642299982785135,0.4,0.6524017921283343,0.6526836917500969,0.6524017921283343,1,0.9995680915191757,1
4,Elastic net,55,0.6524017921283343,0.43943437913982,-0.14345635666020232,0.30368733673162673,0.6422999827851349,0.36363636363636365,0.6524017921283343,0.6526836917500969,0.6524017921283343,1,0.9995680915191757,1
4,Threshold ridge,55,0.6518055756552813,0.4391484189272269,-0.144531419905899,0.30486293119134844,0.6414374011970845,17.4,0.6524017921283343,0.6526836917500969,0.6524017921283343,0.9990861207307418,0.9986546069621243,0.9990861207307418
4,Post-threshold ridge,55,0.7713543805077335,0.5335121452741791,-0.1774429246340073,0.40641867291334854,0.7575861689825684,17.4,0.6524017921283343,0.6526836917500969,0.6524017921283343,1.1823302599941357,1.181819601527709,1.1823302599941357
4,Ridge,55,0.6526836917500969,0.44041990527055647,-0.14362518504048158,0.3091636252898199,0.642553203207564,NA,0.6524017921283343,0.6526836917500969,0.6524017921283343,1.0004320951063652,1,1.0004320951063652
4,OCMT,55,0.6479221617867128,0.4305073896009025,-0.15126710210093552,0.3036873367316266,0.6358237080325685,0.09090909090909091,0.6524017921283343,0.6526836917500969,0.6524017921283343,0.9931336326851471,0.9927046898465984,0.9931336326851471
4,BMT,55,0.6479221617867128,0.4305073896009025,-0.15126710210093552,0.3036873367316266,0.6358237080325685,0.09090909090909091,0.6524017921283343,0.6526836917500969,0.6524017921283343,0.9931336326851471,0.9927046898465984,0.9931336326851471
