horizon,method,RMSFE,relative_RMSFE_vs_AR,relative_RMSFE_vs_ridge,relative_RMSFE_vs_lasso,MAFE,mean_error,average_selected
1,AR,0.58,1,0.948,1.003,0.401,-0.126,0
1,LASSO,0.578,0.997,0.945,1,0.393,-0.109,1
1,Elastic net,0.59,1.017,0.964,1.02,0.399,-0.117,1.24
1,Threshold ridge,0.581,1.002,0.95,1.005,0.367,-0.147,16.24
1,Post-threshold ridge,0.861,1.483,1.406,1.488,0.545,-0.006,16.24
1,Ridge,0.612,1.054,1,1.058,0.419,-0.034,NA
1,OCMT,0.752,1.296,1.229,1.3,0.445,-0.157,2.75
1,BMT,0.83,1.43,1.356,1.435,0.471,-0.123,1.18
2,AR,0.616,1,0.995,1,0.412,-0.118,0
2,LASSO,0.616,1,0.995,1,0.412,-0.118,0.47
2,Elastic net,0.616,1,0.995,1,0.412,-0.118,0.29
2,Threshold ridge,0.615,1,0.994,1,0.412,-0.119,15.18
2,Post-threshold ridge,0.762,1.238,1.232,1.238,0.503,-0.082,15.18
2,Ridge,0.619,1.005,1,1.005,0.418,-0.111,NA
2,OCMT,0.618,1.004,0.999,1.004,0.416,-0.115,0.05
2,BMT,0.618,1.004,0.999,1.004,0.416,-0.115,0.05
4,AR,0.652,1,1,1,0.439,-0.143,0
4,LASSO,0.652,1,1,1,0.439,-0.143,0.4
4,Elastic net,0.652,1,1,1,0.439,-0.143,0.36
4,Threshold ridge,0.652,0.999,0.999,0.999,0.439,-0.145,17.4
4,Post-threshold ridge,0.771,1.182,1.182,1.182,0.534,-0.177,17.4
4,Ridge,0.653,1,1,1,0.44,-0.144,NA
4,OCMT,0.648,0.993,0.993,0.993,0.431,-0.151,0.09
4,BMT,0.648,0.993,0.993,0.993,0.431,-0.151,0.09
