method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda,forecast_quarter_yq,target_quarter_yq,forecast_quarter_date,target_quarter_date,benchmark_squared_error,loss_difference_vs_benchmark,cumulative_loss_difference_vs_benchmark
AR,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.7152765634975627,0.06548160661557556,0.00428784080495698,0.06548160661557556,0,NA,2005 Q2,2005 Q3,2005-04-01,2005-07-01,0.00474387800496578,-4.560372000088006e-4,-4.560372000088006e-4
AR,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.7773315465225326,-0.223352309314919,0.04988625407630726,0.223352309314919,0,NA,2005 Q3,2005 Q4,2005-07-01,2005-10-01,0.0260935155112909,0.023792738565016357,0.023336701365007557
AR,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.7214470281354362,0.6149668166358642,0.37818418556324856,0.6149668166358642,0,NA,2005 Q4,2006 Q1,2005-10-01,2006-01-01,0.37911760314926873,-9.334175860201688e-4,0.022403283778987388
AR,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,0.25841857488995146,0.9158363404196516,-0.6574177655297,0.4321981184340636,0.6574177655297,0,NA,2006 Q1,2006 Q2,2006-01-01,2006-04-01,0.6344324327417866,-0.20223431430772304,-0.17983103052873564
AR,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,0.14984360400802643,0.6621032126001023,-0.5122596085920759,0.26240990659490676,0.5122596085920759,0,NA,2006 Q2,2006 Q3,2006-04-01,2006-07-01,0.5483182014025342,-0.2859082948076274,-0.4657393253363631
AR,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,0.8557775565416037,0.6176607767032284,0.23811677983837531,0.0566996008405973,0.23811677983837531,0,NA,2006 Q3,2006 Q4,2006-07-01,2006-10-01,0.11961920736403112,-0.06291960652343381,-0.5286589318597968
AR,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,0.3003840617131104,0.7938921818854954,-0.493508120172385,0.2435502646760812,0.493508120172385,0,NA,2006 Q4,2007 Q1,2006-10-01,2007-01-01,0.2167264115983789,0.026823853077702298,-0.5018350787820945
AR,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.6569153426264104,-0.04701705115831867,0.00221060309962395,0.04701705115831867,0,NA,2007 Q1,2007 Q2,2007-01-01,2007-04-01,0.00275419112676799,-5.435880271440399e-4,-0.5023786668092386
AR,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.7248639511377956,-0.1504908402070807,0.02264749298623309,0.1504908402070807,0,NA,2007 Q2,2007 Q3,2007-04-01,2007-07-01,9.266112481082908e-5,0.02255483186142226,-0.4798238349478164
AR,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.7141006442871183,-0.08782909306763664,0.00771394958908357,0.08782909306763664,0,NA,2007 Q3,2007 Q4,2007-07-01,2007-10-01,8.248969525287806e-5,0.007631459893830692,-0.47219237505398565
