method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda
AR,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.7152765634975627,0.06548160661557556,0.004287840804956989,0.06548160661557556,0,NA
LASSO,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.735332505813675,0.045425664299463264,0.0020634909770475313,0.045425664299463264,4,0.1367432087761957
Elastic net,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.7292826777717044,0.05147549234143389,0.002649726311793019,0.05147549234143389,4,0.26105603779260916
Ridge,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.8496339859338295,-0.06887581582069124,0.004743878004965782,0.06887581582069124,NA,1.9839098255638432
Threshold ridge,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.7799470800383177,8.110900748206085e-4,6.578671094725003e-7,8.110900748206085e-4,13,1.9839098255638432
Post-threshold ridge,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.9373074532574411,-0.15654928314430283,0.0245076780529951,0.15654928314430283,13,1.9839098255638432
OCMT,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.9598834966236687,-0.17912532651053037,0.03208588259750411,0.17912532651053037,2,NA
BMT,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.9252612868792015,-0.1445031167660632,0.020881150755106496,0.1445031167660632,1,NA
AR,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.7773315465225326,-0.223352309314919,0.04988625407630726,0.223352309314919,0,NA
LASSO,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.7773315465225326,-0.223352309314919,0.04988625407630726,0.223352309314919,0,0.19943344082579925
Elastic net,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.7773315465225326,-0.223352309314919,0.04988625407630726,0.223352309314919,0,0.39886688165159845
Ridge,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.7155141111862405,-0.16153487397862698,0.0260935155112909,0.16153487397862698,NA,1.994334408258
Threshold ridge,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.6875861302863173,-0.13360689307870377,0.017850801878144182,0.13360689307870377,14,1.994334408258
Post-threshold ridge,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.5695262495469599,-0.0155470123393463,2.417095926797861e-4,0.0155470123393463,14,1.994334408258
OCMT,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.7229059937415809,-0.16892675653396738,0.02853624907308629,0.16892675653396738,2,NA
BMT,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.7201223080846233,-0.16614307087700975,0.027603520000443083,0.16614307087700975,1,NA
AR,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.7214470281354362,0.6149668166358642,0.37818418556324856,0.6149668166358642,0,NA
LASSO,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.721447028135436,0.6149668166358643,0.37818418556324873,0.6149668166358643,0,0.19802257598932776
Elastic net,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.721447028135436,0.6149668166358643,0.37818418556324873,0.6149668166358643,0,0.3960451519786554
Ridge,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.720688578805002,0.6157252659662983,0.37911760314926873,0.6157252659662983,NA,1.9802257598932855
Threshold ridge,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.7425032532365059,0.5939105915347944,0.3527297907372094,0.5939105915347944,14,1.9802257598932855
Post-threshold ridge,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.31716042482911894,1.0192534199421814,1.0388775340638328,1.0192534199421814,14,1.9802257598932855
OCMT,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.9869929624177995,0.3494208823535008,0.12209495302469903,0.3494208823535008,2,NA
BMT,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,1.098909478408809,0.2375043663624914,0.056408324041248535,0.2375043663624914,1,NA
AR,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,0.25841857488995146,0.9158363404196515,-0.6574177655297,0.4321981184340636,0.6574177655297,0,NA
