method,horizon,forecast_quarter,target_quarter,train_start,train_end,selected_variables
AR,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0
LASSO,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,4
Elastic net,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,4
Ridge,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,NA
Threshold ridge,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,13
Post-threshold ridge,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,13
OCMT,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,2
BMT,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,1
AR,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0
LASSO,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0
Elastic net,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0
Ridge,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,NA
Threshold ridge,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,14
Post-threshold ridge,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,14
OCMT,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,2
BMT,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,1
AR,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,0
LASSO,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,0
Elastic net,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,0
Ridge,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,NA
Threshold ridge,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,14
Post-threshold ridge,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,14
OCMT,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,2
BMT,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1
AR,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,0
LASSO,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,0
Elastic net,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,0
Ridge,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,NA
Threshold ridge,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,17
Post-threshold ridge,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,17
OCMT,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,2
BMT,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,1
AR,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,0
LASSO,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,1
Elastic net,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,1
Ridge,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,NA
Threshold ridge,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,13
Post-threshold ridge,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,13
OCMT,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,2
BMT,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,1
AR,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,0
LASSO,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,2
Elastic net,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,3
Ridge,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,NA
Threshold ridge,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,16
Post-threshold ridge,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,16
OCMT,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,1
BMT,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,1
AR,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,0
LASSO,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,0
Elastic net,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,1
Ridge,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,NA
Threshold ridge,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,15
Post-threshold ridge,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,15
OCMT,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,2
BMT,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,1
AR,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0
LASSO,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0
Elastic net,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0
Ridge,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,NA
Threshold ridge,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,16
Post-threshold ridge,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,16
OCMT,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,2
BMT,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,1
AR,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0
LASSO,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,1
Elastic net,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0
Ridge,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,NA
Threshold ridge,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,15
Post-threshold ridge,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,15
OCMT,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,2
BMT,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,1
AR,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0
LASSO,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,1
Elastic net,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0
Ridge,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,NA
Threshold ridge,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,15
Post-threshold ridge,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,15
OCMT,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,2
BMT,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,1
AR,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,0
LASSO,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,0
Elastic net,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,0
Ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,NA
Threshold ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,15
Post-threshold ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,15
OCMT,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,1
BMT,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,1
AR,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0
LASSO,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,2
Elastic net,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,3
Ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,NA
Threshold ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,14
Post-threshold ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,14
OCMT,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,1
BMT,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,1
AR,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,0
