method,horizon,forecast_quarter,target_quarter,selected_variable,selection_stage
LASSO,1,2005 Q2,2005 Q3,RPI_m1,NA
LASSO,1,2005 Q2,2005 Q3,DPCERA3M086SBEA_m1,NA
LASSO,1,2005 Q2,2005 Q3,UNRATE_m5,NA
LASSO,1,2005 Q2,2005 Q3,S&P 500_m2,NA
Elastic net,1,2005 Q2,2005 Q3,RPI_m1,NA
Elastic net,1,2005 Q2,2005 Q3,DPCERA3M086SBEA_m1,NA
Elastic net,1,2005 Q2,2005 Q3,UNRATE_m5,NA
Elastic net,1,2005 Q2,2005 Q3,S&P 500_m2,NA
Threshold ridge,1,2005 Q2,2005 Q3,RPI_m1,NA
Threshold ridge,1,2005 Q2,2005 Q3,RPI_m4,NA
Threshold ridge,1,2005 Q2,2005 Q3,DPCERA3M086SBEA_m1,NA
Threshold ridge,1,2005 Q2,2005 Q3,RETAILx_m1,NA
Threshold ridge,1,2005 Q2,2005 Q3,UNRATE_m4,NA
Threshold ridge,1,2005 Q2,2005 Q3,UNRATE_m5,NA
Threshold ridge,1,2005 Q2,2005 Q3,PAYEMS_m0,NA
Threshold ridge,1,2005 Q2,2005 Q3,M1SL_m3,NA
Threshold ridge,1,2005 Q2,2005 Q3,M2SL_m1,NA
Threshold ridge,1,2005 Q2,2005 Q3,BOGMBASE_m2,NA
Threshold ridge,1,2005 Q2,2005 Q3,PPICMM_m4,NA
Threshold ridge,1,2005 Q2,2005 Q3,OILPRICEx_m0,NA
Threshold ridge,1,2005 Q2,2005 Q3,S&P 500_m2,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,RPI_m1,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,RPI_m4,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,DPCERA3M086SBEA_m1,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,RETAILx_m1,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,UNRATE_m4,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,UNRATE_m5,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,PAYEMS_m0,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,M1SL_m3,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,M2SL_m1,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,BOGMBASE_m2,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,PPICMM_m4,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,OILPRICEx_m0,NA
Post-threshold ridge,1,2005 Q2,2005 Q3,S&P 500_m2,NA
OCMT,1,2005 Q2,2005 Q3,RPI_m1,1
OCMT,1,2005 Q2,2005 Q3,UNRATE_m5,1
BMT,1,2005 Q2,2005 Q3,RPI_m1,1
Threshold ridge,1,2005 Q3,2005 Q4,RPI_m1,NA
Threshold ridge,1,2005 Q3,2005 Q4,RPI_m4,NA
Threshold ridge,1,2005 Q3,2005 Q4,DPCERA3M086SBEA_m1,NA
Threshold ridge,1,2005 Q3,2005 Q4,CMRMTSPLx_m0,NA
Threshold ridge,1,2005 Q3,2005 Q4,RETAILx_m1,NA
Threshold ridge,1,2005 Q3,2005 Q4,UNRATE_m4,NA
Threshold ridge,1,2005 Q3,2005 Q4,UNRATE_m5,NA
Threshold ridge,1,2005 Q3,2005 Q4,PAYEMS_m0,NA
Threshold ridge,1,2005 Q3,2005 Q4,M1SL_m3,NA
Threshold ridge,1,2005 Q3,2005 Q4,BOGMBASE_m2,NA
Threshold ridge,1,2005 Q3,2005 Q4,BUSLOANS_m0,NA
Threshold ridge,1,2005 Q3,2005 Q4,PPICMM_m4,NA
Threshold ridge,1,2005 Q3,2005 Q4,PCEPI_m2,NA
Threshold ridge,1,2005 Q3,2005 Q4,S&P 500_m2,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,RPI_m1,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,RPI_m4,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,DPCERA3M086SBEA_m1,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,CMRMTSPLx_m0,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,RETAILx_m1,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,UNRATE_m4,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,UNRATE_m5,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,PAYEMS_m0,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,M1SL_m3,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,BOGMBASE_m2,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,BUSLOANS_m0,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,PPICMM_m4,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,PCEPI_m2,NA
Post-threshold ridge,1,2005 Q3,2005 Q4,S&P 500_m2,NA
OCMT,1,2005 Q3,2005 Q4,RPI_m1,1
OCMT,1,2005 Q3,2005 Q4,UNRATE_m5,1
BMT,1,2005 Q3,2005 Q4,RPI_m1,1
Threshold ridge,1,2005 Q4,2006 Q1,RPI_m1,NA
Threshold ridge,1,2005 Q4,2006 Q1,RPI_m4,NA
Threshold ridge,1,2005 Q4,2006 Q1,DPCERA3M086SBEA_m1,NA
Threshold ridge,1,2005 Q4,2006 Q1,CMRMTSPLx_m0,NA
Threshold ridge,1,2005 Q4,2006 Q1,RETAILx_m1,NA
Threshold ridge,1,2005 Q4,2006 Q1,UNRATE_m4,NA
Threshold ridge,1,2005 Q4,2006 Q1,UNRATE_m5,NA
Threshold ridge,1,2005 Q4,2006 Q1,PAYEMS_m0,NA
Threshold ridge,1,2005 Q4,2006 Q1,M1SL_m3,NA
Threshold ridge,1,2005 Q4,2006 Q1,BOGMBASE_m2,NA
Threshold ridge,1,2005 Q4,2006 Q1,BUSLOANS_m0,NA
Threshold ridge,1,2005 Q4,2006 Q1,PPICMM_m4,NA
Threshold ridge,1,2005 Q4,2006 Q1,PCEPI_m2,NA
Threshold ridge,1,2005 Q4,2006 Q1,S&P 500_m2,NA
Post-threshold ridge,1,2005 Q4,2006 Q1,RPI_m1,NA
Post-threshold ridge,1,2005 Q4,2006 Q1,RPI_m4,NA
Post-threshold ridge,1,2005 Q4,2006 Q1,DPCERA3M086SBEA_m1,NA
Post-threshold ridge,1,2005 Q4,2006 Q1,CMRMTSPLx_m0,NA
Post-threshold ridge,1,2005 Q4,2006 Q1,RETAILx_m1,NA
Post-threshold ridge,1,2005 Q4,2006 Q1,UNRATE_m4,NA
Post-threshold ridge,1,2005 Q4,2006 Q1,UNRATE_m5,NA
Post-threshold ridge,1,2005 Q4,2006 Q1,PAYEMS_m0,NA
