method,category,times_selected,share_within_method
LASSO,Real activity / consumption,41,0.7321428571428571
LASSO,Money and credit,8,0.14285714285714285
LASSO,Labor market,6,0.10714285714285714
LASSO,Financial / sentiment,1,0.017857142857142856
Elastic net,Real activity / consumption,49,0.7101449275362319
Elastic net,Money and credit,11,0.15942028985507245
Elastic net,Labor market,7,0.10144927536231885
Elastic net,Financial / sentiment,2,0.028985507246376812
Threshold ridge,Real activity / consumption,399,0.4253731343283582
Threshold ridge,Money and credit,203,0.21641791044776118
Threshold ridge,Labor market,187,0.19936034115138593
Threshold ridge,Financial / sentiment,96,0.1023454157782516
Threshold ridge,Prices and commodities,53,0.05650319829424307
Post-threshold ridge,Real activity / consumption,399,0.4253731343283582
Post-threshold ridge,Money and credit,203,0.21641791044776118
Post-threshold ridge,Labor market,187,0.19936034115138593
Post-threshold ridge,Financial / sentiment,96,0.1023454157782516
Post-threshold ridge,Prices and commodities,53,0.05650319829424307
OCMT,Real activity / consumption,100,0.6060606060606061
OCMT,Labor market,46,0.2787878787878788
OCMT,Money and credit,18,0.10909090909090909
OCMT,Financial / sentiment,1,0.006060606060606061
BMT,Real activity / consumption,55,0.8088235294117647
BMT,Money and credit,10,0.14705882352941177
BMT,Labor market,3,0.04411764705882353
