method_1,method_2,forecast_quarter,intersection_size,union_size,jaccard_similarity
LASSO,Threshold ridge,2005 Q2,4,13,0.3076923076923077
LASSO,Threshold ridge,2005 Q3,0,14,0
LASSO,Threshold ridge,2005 Q4,0,14,0
LASSO,Threshold ridge,2006 Q1,0,17,0
LASSO,Threshold ridge,2006 Q2,1,13,0.07692307692307693
LASSO,Threshold ridge,2006 Q3,2,16,0.125
LASSO,Threshold ridge,2006 Q4,0,15,0
LASSO,Threshold ridge,2007 Q1,0,16,0
LASSO,Threshold ridge,2007 Q2,1,15,0.06666666666666667
LASSO,Threshold ridge,2007 Q3,1,15,0.06666666666666667
LASSO,Threshold ridge,2007 Q4,0,15,0
LASSO,Threshold ridge,2008 Q1,2,14,0.14285714285714285
LASSO,Threshold ridge,2008 Q2,1,15,0.06666666666666667
LASSO,Threshold ridge,2008 Q3,0,14,0
LASSO,Threshold ridge,2008 Q4,0,21,0
LASSO,Threshold ridge,2009 Q1,0,17,0
LASSO,Threshold ridge,2009 Q2,0,17,0
LASSO,Threshold ridge,2009 Q3,0,18,0
LASSO,Threshold ridge,2009 Q4,1,16,0.0625
LASSO,Threshold ridge,2010 Q1,0,19,0
LASSO,Threshold ridge,2010 Q2,0,18,0
LASSO,Threshold ridge,2010 Q3,0,17,0
LASSO,Threshold ridge,2010 Q4,1,17,0.058823529411764705
LASSO,Threshold ridge,2011 Q1,0,16,0
LASSO,Threshold ridge,2011 Q2,0,15,0
LASSO,Threshold ridge,2011 Q3,1,16,0.0625
LASSO,Threshold ridge,2011 Q4,0,18,0
LASSO,Threshold ridge,2012 Q1,1,16,0.0625
LASSO,Threshold ridge,2012 Q2,1,16,0.0625
LASSO,Threshold ridge,2012 Q3,0,17,0
LASSO,Threshold ridge,2012 Q4,0,15,0
LASSO,Threshold ridge,2013 Q1,1,17,0.058823529411764705
LASSO,Threshold ridge,2013 Q2,0,16,0
LASSO,Threshold ridge,2013 Q3,0,16,0
LASSO,Threshold ridge,2013 Q4,1,16,0.0625
LASSO,Threshold ridge,2014 Q1,0,18,0
LASSO,Threshold ridge,2014 Q2,0,17,0
LASSO,Threshold ridge,2014 Q3,1,17,0.058823529411764705
LASSO,Threshold ridge,2014 Q4,3,18,0.16666666666666666
LASSO,Threshold ridge,2015 Q1,6,16,0.375
