method_1,method_2,average_intersection,average_union,average_jaccard
Post-threshold ridge,Threshold ridge,16.17241379310345,16.17241379310345,1
Elastic net,LASSO,0.8103448275862069,1.3448275862068966,0.47374149659863946
BMT,OCMT,1.1551724137931034,2.8620689655172415,0.4704022988505747
BMT,LASSO,0.46551724137931033,1.6724137931034482,0.2744252873563218
BMT,Elastic net,0.4827586206896552,1.8793103448275863,0.2557881773399015
LASSO,OCMT,0.7068965517241379,3.103448275862069,0.21748768472906405
Elastic net,OCMT,0.7586206896551724,3.2758620689655173,0.2043103448275862
OCMT,Post-threshold ridge,2.8448275862068964,16.17241379310345,0.17703112435350613
OCMT,Threshold ridge,2.8448275862068964,16.17241379310345,0.17703112435350613
Elastic net,Post-threshold ridge,1.1896551724137931,16.17241379310345,0.07303998964749472
Elastic net,Threshold ridge,1.1896551724137931,16.17241379310345,0.07303998964749472
BMT,Post-threshold ridge,1.1724137931034482,16.17241379310345,0.07288789323258738
BMT,Threshold ridge,1.1724137931034482,16.17241379310345,0.07288789323258738
LASSO,Post-threshold ridge,0.9655172413793104,16.17241379310345,0.060249816106814076
LASSO,Threshold ridge,0.9655172413793104,16.17241379310345,0.060249816106814076
