method,predictor,times_selected_any_lag,average_lag_selected,selection_frequency_any_lag
LASSO,INDPRO,29,0.6206896551724138,0.5
LASSO,RPI,9,2,0.15517241379310345
LASSO,M2SL,8,1,0.13793103448275862
LASSO,UNRATE,6,5,0.10344827586206896
LASSO,CMRMTSPLx,2,0,0.034482758620689655
LASSO,DPCERA3M086SBEA,1,1,0.017241379310344827
LASSO,S&P 500,1,2,0.017241379310344827
Elastic net,INDPRO,29,0.5862068965517241,0.5
Elastic net,RPI,13,2.3076923076923075,0.22413793103448276
Elastic net,M2SL,10,1,0.1724137931034483
Elastic net,CMRMTSPLx,4,0,0.06896551724137931
Elastic net,UNRATE,4,5,0.06896551724137931
Elastic net,DPCERA3M086SBEA,3,0.3333333333333333,0.05172413793103448
Elastic net,PAYEMS,3,0,0.05172413793103448
Elastic net,S&P 500,2,2,0.034482758620689655
Elastic net,BOGMBASE,1,2,0.017241379310344827
Threshold ridge,INDPRO,105,0.8,1.8103448275862069
Threshold ridge,RPI,104,2.8365384615384617,1.793103448275862
Threshold ridge,CMRMTSPLx,93,0.8064516129032258,1.603448275862069
Threshold ridge,CLAIMSx,89,0.9550561797752809,1.5344827586206897
Threshold ridge,M2SL,81,0.6172839506172839,1.396551724137931
Threshold ridge,DPCERA3M086SBEA,76,0.6447368421052632,1.3103448275862069
Threshold ridge,M1SL,65,0.7846153846153846,1.1206896551724137
Threshold ridge,FEDFUNDS,64,2.640625,1.103448275862069
Threshold ridge,PAYEMS,57,0,0.9827586206896551
Threshold ridge,UNRATE,41,3.268292682926829,0.7068965517241379
Threshold ridge,PPICMM,30,3.3,0.5172413793103449
Threshold ridge,S&P 500,30,1.7333333333333334,0.5172413793103449
Threshold ridge,NONREVSL,26,0.07692307692307693,0.4482758620689655
Threshold ridge,BOGMBASE,24,1.9166666666666667,0.41379310344827586
Threshold ridge,OILPRICEx,21,0.047619047619047616,0.3620689655172414
Threshold ridge,RETAILx,21,0.7619047619047619,0.3620689655172414
Threshold ridge,BUSLOANS,7,1.1428571428571428,0.1206896551724138
Threshold ridge,CREDIT_SPREAD,2,0.5,0.034482758620689655
Threshold ridge,PCEPI,2,2,0.034482758620689655
Post-threshold ridge,INDPRO,105,0.8,1.8103448275862069
Post-threshold ridge,RPI,104,2.8365384615384617,1.793103448275862
Post-threshold ridge,CMRMTSPLx,93,0.8064516129032258,1.603448275862069
Post-threshold ridge,CLAIMSx,89,0.9550561797752809,1.5344827586206897
Post-threshold ridge,M2SL,81,0.6172839506172839,1.396551724137931
Post-threshold ridge,DPCERA3M086SBEA,76,0.6447368421052632,1.3103448275862069
Post-threshold ridge,M1SL,65,0.7846153846153846,1.1206896551724137
Post-threshold ridge,FEDFUNDS,64,2.640625,1.103448275862069
Post-threshold ridge,PAYEMS,57,0,0.9827586206896551
Post-threshold ridge,UNRATE,41,3.268292682926829,0.7068965517241379
Post-threshold ridge,PPICMM,30,3.3,0.5172413793103449
Post-threshold ridge,S&P 500,30,1.7333333333333334,0.5172413793103449
Post-threshold ridge,NONREVSL,26,0.07692307692307693,0.4482758620689655
Post-threshold ridge,BOGMBASE,24,1.9166666666666667,0.41379310344827586
Post-threshold ridge,OILPRICEx,21,0.047619047619047616,0.3620689655172414
Post-threshold ridge,RETAILx,21,0.7619047619047619,0.3620689655172414
Post-threshold ridge,BUSLOANS,7,1.1428571428571428,0.1206896551724138
Post-threshold ridge,CREDIT_SPREAD,2,0.5,0.034482758620689655
Post-threshold ridge,PCEPI,2,2,0.034482758620689655
OCMT,INDPRO,80,0.4625,1.3793103448275863
OCMT,PAYEMS,35,0,0.603448275862069
OCMT,M2SL,17,0.9411764705882353,0.29310344827586204
OCMT,RPI,13,1,0.22413793103448276
OCMT,UNRATE,11,5,0.1896551724137931
OCMT,CMRMTSPLx,7,0,0.1206896551724138
OCMT,CREDIT_SPREAD,1,0,0.017241379310344827
OCMT,M1SL,1,0,0.017241379310344827
BMT,INDPRO,42,0.7142857142857143,0.7241379310344828
BMT,RPI,13,1,0.22413793103448276
BMT,M2SL,10,1,0.1724137931034483
BMT,PAYEMS,2,0,0.034482758620689655
BMT,UNRATE,1,5,0.017241379310344827
