method,selected_variable,predictor,monthly_lag,times_selected,selection_frequency
LASSO,INDPRO_m1,INDPRO,1,18,0.3103448275862069
LASSO,INDPRO_m0,INDPRO,0,11,0.1896551724137931
LASSO,M2SL_m1,M2SL,1,8,0.13793103448275862
LASSO,UNRATE_m5,UNRATE,5,6,0.10344827586206896
LASSO,RPI_m1,RPI,1,4,0.06896551724137931
LASSO,RPI_m2,RPI,2,3,0.05172413793103448
LASSO,CMRMTSPLx_m0,CMRMTSPLx,0,2,0.034482758620689655
LASSO,RPI_m4,RPI,4,2,0.034482758620689655
LASSO,DPCERA3M086SBEA_m1,DPCERA3M086SBEA,1,1,0.017241379310344827
LASSO,S&P 500_m2,S&P 500,2,1,0.017241379310344827
Elastic net,INDPRO_m1,INDPRO,1,17,0.29310344827586204
Elastic net,INDPRO_m0,INDPRO,0,12,0.20689655172413793
Elastic net,M2SL_m1,M2SL,1,10,0.1724137931034483
Elastic net,RPI_m1,RPI,1,6,0.10344827586206896
Elastic net,RPI_m4,RPI,4,5,0.08620689655172414
Elastic net,CMRMTSPLx_m0,CMRMTSPLx,0,4,0.06896551724137931
Elastic net,UNRATE_m5,UNRATE,5,4,0.06896551724137931
Elastic net,PAYEMS_m0,PAYEMS,0,3,0.05172413793103448
Elastic net,DPCERA3M086SBEA_m0,DPCERA3M086SBEA,0,2,0.034482758620689655
Elastic net,RPI_m2,RPI,2,2,0.034482758620689655
Threshold ridge,CMRMTSPLx_m0,CMRMTSPLx,0,57,0.9827586206896551
Threshold ridge,PAYEMS_m0,PAYEMS,0,57,0.9827586206896551
Threshold ridge,INDPRO_m1,INDPRO,1,50,0.8620689655172413
Threshold ridge,M2SL_m1,M2SL,1,50,0.8620689655172413
Threshold ridge,DPCERA3M086SBEA_m1,DPCERA3M086SBEA,1,49,0.8448275862068966
Threshold ridge,RPI_m4,RPI,4,48,0.8275862068965517
Threshold ridge,INDPRO_m0,INDPRO,0,44,0.7586206896551724
Threshold ridge,M1SL_m0,M1SL,0,44,0.7586206896551724
Threshold ridge,FEDFUNDS_m4,FEDFUNDS,4,40,0.6896551724137931
Threshold ridge,CLAIMSx_m1,CLAIMSx,1,39,0.6724137931034483
Post-threshold ridge,CMRMTSPLx_m0,CMRMTSPLx,0,57,0.9827586206896551
Post-threshold ridge,PAYEMS_m0,PAYEMS,0,57,0.9827586206896551
Post-threshold ridge,INDPRO_m1,INDPRO,1,50,0.8620689655172413
Post-threshold ridge,M2SL_m1,M2SL,1,50,0.8620689655172413
Post-threshold ridge,DPCERA3M086SBEA_m1,DPCERA3M086SBEA,1,49,0.8448275862068966
Post-threshold ridge,RPI_m4,RPI,4,48,0.8275862068965517
Post-threshold ridge,INDPRO_m0,INDPRO,0,44,0.7586206896551724
Post-threshold ridge,M1SL_m0,M1SL,0,44,0.7586206896551724
Post-threshold ridge,FEDFUNDS_m4,FEDFUNDS,4,40,0.6896551724137931
Post-threshold ridge,CLAIMSx_m1,CLAIMSx,1,39,0.6724137931034483
OCMT,INDPRO_m0,INDPRO,0,43,0.7413793103448276
OCMT,INDPRO_m1,INDPRO,1,37,0.6379310344827587
OCMT,PAYEMS_m0,PAYEMS,0,35,0.603448275862069
OCMT,M2SL_m1,M2SL,1,16,0.27586206896551724
OCMT,RPI_m1,RPI,1,13,0.22413793103448276
OCMT,UNRATE_m5,UNRATE,5,11,0.1896551724137931
OCMT,CMRMTSPLx_m0,CMRMTSPLx,0,7,0.1206896551724138
OCMT,CREDIT_SPREAD_m0,CREDIT_SPREAD,0,1,0.017241379310344827
OCMT,M1SL_m0,M1SL,0,1,0.017241379310344827
OCMT,M2SL_m0,M2SL,0,1,0.017241379310344827
BMT,INDPRO_m1,INDPRO,1,30,0.5172413793103449
BMT,RPI_m1,RPI,1,13,0.22413793103448276
BMT,INDPRO_m0,INDPRO,0,12,0.20689655172413793
BMT,M2SL_m1,M2SL,1,10,0.1724137931034483
BMT,PAYEMS_m0,PAYEMS,0,2,0.034482758620689655
BMT,UNRATE_m5,UNRATE,5,1,0.017241379310344827
